id	document	score	time
34231364	South Korea’s online security dead end	271	1672754505
34231553	Tell HN: GitHub is partially blocked in India	294	1672755337
34231634	Please write a breaking news article about a leaf falling from a tree	200	1672755713
34231687	In 2022, Web3 went just great	254	1672755955
34231714	Legal use of hallucinogenic mushrooms begins in Oregon	212	1672756117
34231770	10x C++ Editor	221	1672756388
34231934	HTTP/3 prioritization demystified	105	1672757081
34232037	Men Without Work (2016)	141	1672757462
34232095	Small Teams	251	1672757689
34232795	Detangle: AI-generated summaries of legal docs	112	1672760343
34233011	Update: Stripe is holding over $400k of mine with no explanation [resolved]	501	1672761163
34233033	Some Remarks on Large Language Models	182	1672761262
34233697	Writing a Python SQL engine from scratch	112	1672763729
34233719	French startup unveils new residential thermo-acoustic heat pump	540	1672763817
34234485	Solar panels reduced my electric bill in 2022	340	1672766547
34234626	Microsoft.Recognizers.Text: numbers, units, and date/time in multiple languages	111	1672767005
34235041	The cost of cheap TVs	121	1672768529
34235060	Japan’s business owners can’t find successors – one man is giving his away	163	1672768604
34235237	Ok, Cloudflare I am leaving	167	1672769307
34235350	Breaking RSA with a quantum computer?	259	1672769749
34235888	Arizona inducing the labor of pregnant prisoners against their will	105	1672771428
34236734	Hnefatafl	181	1672774316
34236889	Google researcher, long out of math, cracks devilish problem about sets	420	1672775001
34236919	Underappreciated challenges with Python packaging	120	1672775106
34237090	AT&T's predictions of the future (1993)	103	1672775824
34237195	Show HN: A device that only lets you type lol if you've truly laughed out loud	321	1672776198
34237207	Next-generation Qi2 wireless charging standard embraces Apple's MagSafe	135	1672776267
34238028	Can self-replicating species flourish in the interior of a star? (2020) [pdf]	165	1672779850
34238150	Migrating from AWS to Fly.io	252	1672780425
34238204	A16Z is the “worst and largest” scammer of all, says CEO of Swan Bitcoin (2022)	262	1672780687
34238860	An unorthodox scholar uses technology to expose Biblical forgeries	150	1672783942
34238944	Major torrent sites are currently exposing details of their operations?	120	1672784317
34239253	Google wants RISC-V to be a “tier-1” Android architecture	393	1672786031
34239684	Meta Quest Pro – Bad AR Passthrough	283	1672788747
34240298	Tell HN: I just received my Equifax breach settlement check	261	1672792971
34241293	Announcement: AI generated answers are officially banned here	107	1672799990
34241399	Even More Bay Area House Party	311	1672800943
34241907	The faker's guide to reading x86 assembly language	200	1672805375
34242124	Thanks to DALL-E, the race to make artificial protein drugs is on	125	1672807552
34242193	Microsoft is preparing to add ChatGPT to Bing	1092	1672808223
34242275	Show HN: Ov – feature rich terminal pager	181	1672809220
34242374	Walter Cunningham, who helped pave the way to the moon, dies at 90	108	1672810348
34242513	Fun, danger, and 70s airplane toys	243	1672811941
34242820	Ruby 3.2.0 is from another dimension	391	1672814960
34242863	QBittorrent v4.5.0: The Hitchhiker's Guide to Legible Text	224	1672815473
34243520	Lnav – An advanced log file viewer for the small-scale	179	1672822903
34243709	The expanding dark forest and generative AI	438	1672824665
34243896	Moiré no more (2021)	122	1672826606
34244264	Microsoft workers to form company’s first union in the U.S.	244	1672830521
34244574	MacBook owners have two months to claim up to $395 over butterfly keyboard woes	225	1672833757
34244977	Chaos Hypertextbook	152	1672837031
34245102	Intelligence – A good collection of great OSINT Resources	223	1672837872
34245160	Why would prisons ban my book? Absurdities rule the system (2022)	136	1672838189
34245167	Marshall McLuhan on surveillance and identity in the electric age (1977) [video]	108	1672838236
34245202	Salesforce will lay off 10% of staff as part of restructuring	361	1672838458
34245255	Supermicro throws its weight behind Arm servers	127	1672838777
34245261	Function keys productivity trick	149	1672838806
34245386	Researchers develop a light source that produces two entangled light beams	140	1672839653
34245853	Urllib3 in 2022	197	1672842595
34246053	WordPress sites under attack from newly found Linux trojan	113	1672843563
34246136	‘Breakthrough’ obesity drugs that have stunned researchers	671	1672843953
34246156	Juan Tamariz, the godfather of close-up card magic	191	1672844108
34246215	Meta prohibited from using personal data for advertisement	298	1672844362
34246564	Going full time on my SaaS after 13 years	842	1672845821
34246660	Globalization is dead and no one is listening	174	1672846163
34246785	All About USB-C: Resistors and Emarkers	146	1672846578
34246960	Pushup: a new compiler for making web apps in Go	215	1672847374
34247577	NYC officials say they can't find EV garbage trucks powerful enough to plow snow	227	1672849505
34247615	Go 1.20 Cryptography	204	1672849672
34247738	WAL Mode in LiteFS	143	1672850163
34247817	Faster MySQL with HTTP/3	185	1672850426
34248164	On-demand learning comes at the cost of conceptual understanding	181	1672851744
34248234	AutoHotKey V2 (Breaking Upgrade)	218	1672851989
34249018	How do you know when macOS detects and remediates malware?	175	1672855157
34250246	What Is AGI-Hard	131	1672860801
34250352	Emulating an emulator inside itself. Meet Blink	196	1672861356
34250467	Two surprises in browser crashes	161	1672861831
34250707	Kids and music lessons: why do many promising players quit early?	170	1672862880
34250872	G-3PO: A protocol droid for Ghidra, or GPT-3 for reverse-engineering	485	1672863603
34252196	Why Google and Apple work to snuff out the mobile web	224	1672868566
34253478	Amazon to Lay Off over 17,000 Workers, More Than First Planned	522	1672874720
34254183	FTC cracks down on companies that impose harmful noncompete restrictions	474	1672879123
34254377	Tell HN: Crypto/web3 grifters are Now AI/ML grifters	299	1672880154
34254766	Sim Wong Hoo has died	200	1672882776
34255319	CircleCI security alert: Rotate any secrets stored in CircleCI	304	1672887424
34255522	I was laid off 2 months ago and I’ve never even seen a severance letter	240	1672889252
34255996	Bill Gates: I'm literally losing sleep over Java (1996)	215	1672893203
34256020	How to Befriend Crows?	123	1672893385
34256392	How to Optimize a CUDA Matmul Kernel for CuBLAS-Like Performance: A Worklog	130	1672896576
34256592	Apple Books digital narration	300	1672898197
34256594	AMD’s Zen 4, Part 3: System Level Stuff, and iGPU	182	1672898218
34257150	Londoner solves 20k-year Ice Age drawings mystery	140	1672905084
34257224	Adobe Lightroom uses photos for AI training by default	265	1672905750
34257646	Slack's private GitHub code repositories stolen over holidays	347	1672910029
34257818	"Automatic1111's GitHub account suspended for ""ToS violations"" [restored]"	269	1672912217
34257837	How do I draw a pair of buttocks? (2014)	992	1672912518
34257935	Reverse Engineering the DualShock 4	173	1672913387
34258293	The (Almost) Definitive 486DX/50 Article	114	1672917122
34258858	Why SQLite succeeded as a database (2016)	128	1672922222
34259213	How to get 1.5 TFlops of FP32 performance on a single M1 CPU core	359	1672924924
34259243	Does the world have enough lithium to move to electric vehicles?	175	1672925150
34259279	Ask HN: How many of you are open to Piracy again?	416	1672925371
34259388	Iranian attack drone found to contain parts from more than a dozen US companies	209	1672926122
34259592	Revue will shut down and all data will be deleted	134	1672927117
34260124	Cargo Cult Quantum Factoring	229	1672929536
34260167	Pornhub users in Louisiana now have to submit government ID to access the site	155	1672929672
34260253	AMD Announces 7950X3D, 7900X3D Upto 128MB L3 Cache	212	1672929991
34260283	Investors conclude that Tesla is a carmaker, not a tech firm	193	1672930113
34260577	U.S. moves to bar noncompete agreements in labor contracts	868	1672931223
34260696	FTC Proposes Banning Noncompete Clauses for Workers	617	1672931599
34261010	Babashka Babooka: Write Command-Line Clojure	118	1672932562
34261656	The YC Founder Directory	248	1672934452
34261902	U.S. moves to seize $460M Robinhood stake linked to Sam Bankman-Fried	236	1672935050
34262345	The skilled trades haven't caught as a career choice with Gen Z	337	1672936402
34262412	The genetic history of Scandinavia from the Roman Iron Age to the present	108	1672936656
34262587	Show HN: GPTDuck – Ask questions about any GitHub repo	128	1672937241
34262825	Show HN: Vim online editor using WebAssembly, storing files using IndexedDB	316	1672938124
34263100	Having friends in HR is fine, but HR is not your friend	289	1672939122
34263601	Caltech to launch space solar power technology demo into orbit	174	1672940958
34264406	Moonwalkers: Shoes that make you walk faster (pre-order)	399	1672944027
34264436	How to slow down scientific progress, according to Leo Szilard	179	1672944132
34264487	Yark: Advanced and easy YouTube archiver now stable	444	1672944319
34264777	Dungeons and Dragons’ new license tightens its grip on competition	222	1672945419
34265084	Berkeley Lab scientists develop a new method of refrigeration	139	1672946573
34265127	GoatCounter: Open-source hosted/self-hosted web analytics	249	1672946734
34265206	Show HN: ClickHouse-local – a small tool for serverless data analytics	289	1672947048
34265261	LiteSync – Easy synchronization of SQLite databases	102	1672947256
34265266	Is it possible for a lunar eclipse to occur before sunset?	137	1672947275
34265392	Kerbal Space Program free on Epic	180	1672947750
34265433	Twilio’s toll fraud problem	447	1672947888
34265451	Tell HN: A stranger is using my YouTube account and Google can't log them out	106	1672947956
34266046	OpenAI is in talks for tender offer that would value it at $29B	180	1672950433
34266078	Microfeatures I'd like to see in more languages	297	1672950548
34266095	Safe deposit boxes aren’t safe (2019)	138	1672950630
34266158	Why are antennas popping up over the Salt Lake City foothills?	382	1672950948
34266240	A Lisp interpreter implemented in Conway's Game of Life (2021)	118	1672951326
34266683	Database of 200k cell images yields new mathematical framework	131	1672953268
34266843	Libcpucycles is a public-domain microlibrary for counting CPU cycles	105	1672953949
34266901	ESP32-P4: High-performance MCU with IO-connectivity and security features	172	1672954148
34267223	Saudi Arabia jails two Wikipedia staff	110	1672955265
34267434	I Migrated from a Postgres Cluster to Distributed SQLite with LiteFS	129	1672955985
34267936	Transcoding Unicode with AVX-512: AMD Zen 4 vs. Intel Ice Lake	110	1672958310
34268366	Google’s quest to digitize troops’ tissue samples	101	1672960509
34268726	Roland’s 50th Anniversary Concept Piano	114	1672962478
34269318	I prefer semi-automation	114	1672965795
34269742	Zelda: Link's Awakening game engine documentation (2021)	335	1672968525
34269772	Omg.lol – A lovable web page and email address	834	1672968775
34270311	VALL-E: Neural codec language models are zero-shot text to speech synthesizers	325	1672973202
34270650	A Philosophy Professor’s Final Class	105	1672976102
34271167	Ask HN: What's on your home server?	519	1672981249
34271215	Spammy syscalls in strace dumps	129	1672981739
34271293	A practical comparison of build and test speed between C++ and Rust	314	1672982479
34271687	Wizards of the Coast Trying to Retroactively Cancel OGL 1.0a	220	1672987015
34271739	Rust Atomics and Locks: Low-Level Concurrency in Practice	292	1672987615
34271815	Stripe is about to refund €147k worth of payments to my all of my customers	288	1672988700
34271902	Leaked Slack all-hands meeting reveals a ‘strong culture clash’ with Salesforce	190	1672989870
34272215	No, you can’t manufacture that like Apple does (2014)	286	1672992565
34272687	Ask HN: What sub $200 product improved your 2022	514	1672996995
34272752	Carl Hewitt has died [pdf]	158	1672997508
34272834	My bad habit of hoarding information	656	1672998332
34273366	FBI Looking for Hashflare Victims	127	1673002937
34273610	Denoising Diffusion models from first principle in Julia	109	1673005027
34274139	Please Sell My Personal Information	170	1673009900
34274326	GitHub is sued, and we may learn something about Creative Commons licensing	403	1673011607
34274392	Canaries in coal mines (2018)	178	1673012138
34274501	Switzerland: snow flown in by helicopter in attempt to keep ski slopes open	104	1673012957
34274510	How to Build an Exchange (2017)	219	1673013049
34274517	Thousands of scientists publish a paper every five days (2018)	159	1673013118
34275149	Dwarf Fortress has sold half a million copies	654	1673016433
34275199	Human gene linked to bigger brains was born from seemingly useless DNA	183	1673016669
34275644	Artist banned, told to “find a different style”- AI-made art	164	1673018643
34275668	How transportation technologies shaped empires	362	1673018738
34275818	Modern Polars: A comparison of the Polars and Pandas dataframe libraries	132	1673019333
34275951	Ask HN: Why are URNs not more popular?	124	1673019847
34276282	The Tyranny of Nicespeak (2001)	102	1673021087
34276519	Emergency measures needed to rescue Great Salt Lake from ongoing collapse	232	1673021830
34276704	U.S. stock market returns – a history from the 1870s to 2022	464	1673022357
34277254	Politics and the English Language (1946)	121	1673024221
34277908	A Curious Integral	267	1673026355
34278005	Rising rent, not poverty, is the real driver of homelessness	272	1673026676
34278243	A skeptical take on ChatGPT: Ezra Klein interviews Gary Marcus	102	1673027530
34278322	Wikipedia admin jailed for 32 years after alleged Saudi infiltration	185	1673027749
34278622	The 10 year old indie mobile app: what worked for the long haul	117	1673029014
34279062	Show HN: I spent 2 years building Tablane as a 17-year-old	352	1673030873
34279215	Ask HN: Share your personal site	103	1673031517
34279224	Sunken Greenhouse	164	1673031555
34279527	Ask HN: How to restore cognition after years of trauma? I feel slow and dumb	119	1673032943
34279605	Fourth membrane is discovered in the brain	148	1673033286
34279829	Coaching engineering managers to take on organizational problems	118	1673034071
34280239	Why was Roman concrete so durable?	627	1673035550
34280708	Perfect Circle	219	1673037535
34281375	Tail Call Optimization: The Musical (2019) [video]	132	1673040365
34281730	Show HN: List of Stripe Alternatives	122	1673041795
34282033	Five mildly anti-Buddhist essays	267	1673043274
34282339	Things they didn’t teach you about software engineering	419	1673044720
34282623	Tell HN: Oculus will delete purchases if you don’t switch to a meta account	138	1673046128
34282662	Less gym time, same results: Why ‘lowering’ weights is all you need to do	202	1673046432
34283125	Artsy Engineering Handbook	217	1673049133
34283385	Physical buttons outperform touchscreens in new cars, test finds (2022)	112	1673050730
34283427	Death by vegetable oil: What the studies say (2020)	127	1673051026
34283861	Monkey stone tools shed doubts on the human origin of archeological sites	174	1673053812
34284645	Jazz Is Freedom	105	1673060118
34284759	Epochalypse	403	1673061244
34285717	Playing games with AIs: The limits of GPT-3 and similar large language models	110	1673072355
34285747	Devirtualizing nike.com's bot protection	196	1673072799
34285928	A Look into Medieval Homes	131	1673075325
34286122	Software horror show: SAP Concur	198	1673077973
34286169	Cybiko	181	1673078681
34286253	Ask HN: Did dang get hacked?	105	1673080041
34286622	The beauty of CGI and simple design	321	1673084318
34287116	Valetudo – Free your vacuum cleaner from the cloud	110	1673090643
34287270	PHP: Prolog Home Page	126	1673092843
34287407	Tell HN: Vim users, `:x` is like `:wq` but writes only when changes are made	537	1673094131
34287417	Small Visual Basic	160	1673094230
34287562	Modern C for C++ peeps (2019)	229	1673095652
34287564	Not-such-better-living through chemistry	180	1673095681
34287615	Undo codes for Japanese elevator floor buttons	145	1673096163
34287685	Ask HN: Main things to consider when building an app for business/enterprise?	181	1673097013
34287800	Study finds that buttons in cars are safer and quicker to use than touchscreens	494	1673098212
34287933	The Rise of Steel – Part I	112	1673099485
34287964	Rsync.net warrant canary	239	1673099722
34288229		125	1673101688
34288383	Guitar Effects Guidebook, Vol. 20 [pdf]	222	1673102637
34288577	Show HN: URL Snake	114	1673103762
34289092	Universal flu vaccine against all known subtypes takes promising first steps	169	1673106468
34289138	The science of having ideas in the shower	275	1673106682
34289310	The Cornell Note Taking System	177	1673107502
34289328	The Safari bug that never was (2022)	286	1673107583
34289581	Show HN: Futurecoder – A free interactive Python course for coding beginners	371	1673108970
34290129	Microplastics are finding their way into fruit and vegetables as they grow	158	1673111520
34290470	Post-processing is ruining iPhone photos	310	1673113248
34290539	Excess management is costing the U.S. $3T per year (2016)	414	1673113565
34291045	Seattle Public Schools sues TikTok, YouTube, Instagram over youth mental health	169	1673116549
34291191	Production Twitter on one machine? 100Gbps NICs and NVMe are fast	776	1673117211
34291287	When is a PC not a PC? The PC-98	126	1673117664
34291565	ChatGPT won’t replace search engines any time soon	269	1673119088
34292099	There is no software maintenance	133	1673122003
34292224	The time I yoga-balled an Apple store employee	104	1673122570
34292795	Jailbroken iOS can't run macOS apps – I spent a week to find out why (2021)	205	1673125585
34293010	The i3-gaps project has been merged with i3	454	1673126794
34293131	College that fired prof for showing image of Muhammad could lose accreditation	161	1673127484
34293631	Testing Without Mocks: A Pattern Language	113	1673130367
34293904	Will You Help Me Repair My Door [video]	290	1673132197
34294576	Microsoft subdomain takeover	271	1673137005
34294817	Tell HN: Maarten van Emden died on January 4, 2023	158	1673139047
34295165	Tilck – A Tiny Linux-Compatible Kernel	270	1673142629
34295328	SDL2 common mistakes and how to avoid them	145	1673144494
34295634	The “36 questions that lead to love” were originally 40 questions and different	198	1673147478
34295828	If you like startups you should love anti-trust	553	1673149581
34295863	Ask HN: How to move from traditional tech into game dev?	205	1673149992
34296170	Cheap, sustainable hydrogen through solar power	112	1673153830
34296396	Dotfiles Management	311	1673156337
34296789	OOP in C	185	1673161334
34297169	Effects on the lips of horn players seated too close to the timpani (2014)	139	1673166003
34297576	Gimel Studio: Non-destructive, 2D image editor	178	1673170760
34298063	Plover: free, open-source stenography engine	249	1673175699
34298157	Fish 3.6.0	186	1673176844
34298234	Tax System in the Faroe Islands	106	1673177692
34298341	A Lecturer Showed a Painting of the Prophet Muhammad. She Lost Her Job	165	1673178999
34299111	Game prototype using AI assisted graphics	348	1673186134
34299304	The Art of LaTeX: Common mistakes and advice for typesetting proofs	277	1673187750
34299433	Apple fined $8.5M for illegally collecting iPhone owners' data for ads	334	1673188705
34299592	Please don’t film me in 2023	302	1673189852
34299618	Shorting Tether	244	1673190010
34300345	Just got offered office space in San Francisco (SOMA) for the same price as 2009	108	1673194736
34300765	Playing Zork with AI-generated imagery [video]	133	1673197296
34300806	My encounter with Medley Interlisp	114	1673197526
34300893	Owl: A toolkit for writing command-line user interfaces in Elixir	223	1673198025
34300896	Ask HN: How to learn business being a software engineer?	206	1673198026
34300973	Linux Touchpad like MacBook Update: 2022 progress and new poll	147	1673198419
34301543	Where are my Git UI features from the future?	161	1673201878
34301768	ssh whoami.filippo.io	240	1673203223
34303497	CDC File Transfer	917	1673214389
34303894	Portugal’s digital nomad bubble	105	1673216531
34304361	Unbricking a BIOS-Bricked Motherboard	144	1673219272
34304520	Safari is released to the world (2013)	161	1673220360
34304655	Alan Kay on web browsers, document viewers, Smalltalk, NeWS and HyperCard (2021)	234	1673221163
34304823	Furby source code (1998)	304	1673222411
34304851	Reintroducing bison on tallgrass prairie doubles plant diversity: research	262	1673222639
34305831	Deere to allow farmers to repair their own equipment	593	1673229677
34305972	Extreme questions to trigger new, better ideas	385	1673231019
34306032	High level mods/patches for console video games	101	1673231836
34306453	Social Quitting	101	1673235513
34306640	My mom left behind some number code	298	1673237326
34306793	McMaster-Carr: A refreshingly fast, thoughtful, and well-organized website	102	1673238986
34306963	Reverse Engineering TikTok's VM Obfuscation (Part 2)	245	1673240643
34307552	A look at Unison: a revolutionary programming language	296	1673246949
34307602	TouchEn nxKey: A keylogging anti-keylogger solution	196	1673247487
34307705	Gail.com FAQ	926	1673248672
34307921	Raspberry Pi Camera Module 3 released	141	1673251288
34308165	Sequence8 – a music sequencing toy in PICO-8	129	1673253981
34308248	Vim: ZZ and zz: Do you know the difference?	230	1673254779
34309275	Ask HN: Lead developer but I just don't enjoy management	198	1673264654
34309293	“The current climate in AI has so many parallels to 2021 Web3”	119	1673264804
34309306	VALL-E: Microsoft’s new zero-shot text-to-speech model	524	1673264923
34309671	I don't read web articles anymore, but I read books	358	1673268043
34309725	Tetris is capable of universal computation	199	1673268474
34309977	‘That girl is going to get herself killed’ (2022)	392	1673270326
34310395	Show HN: I wrote a WebAssembly Interpreter and Toolkit in C	105	1673272965
34310423	Binance has lost $12B in assets in under 60 days	110	1673273102
34310505	AMD Ryzen 5 7600 / Ryzen 7 7700 / Ryzen 9 7900 Linux Performance	102	1673273590
34310522	Identity thieves bypassed Experian security to view credit reports	475	1673273675
34310607	'Terminator' 1 and 2 Save Their Reveals for the Right Time	154	1673274217
34310674	Sourcehut will blacklist the Go module mirror	550	1673274519
34311048	Mind Your Own Business Act of 2021	128	1673276473
34311192	Fake it until you automate it	293	1673277300
34311468	Demystifying Apache Arrow (2020)	197	1673278610
34312066	I went through a period where I loaned money to anyone that asked me	257	1673281258
34312243	My coffee maker just makes coffee	129	1673282062
34312248	Ask HN: What are the foundational texts for learning about AI/ML/NN?	285	1673282074
34312335	Show HN: HyperLogLog in Zig	154	1673282500
34312338	Japan, US to step up cooperation in developing next-generation nuclear reactors	218	1673282502
34312474	Mapping Python to LLVM	121	1673283176
34312546	How to store your app's entire state in the url	640	1673283470
34312937	Ask HN: Did HN just start using Google recaptcha for logins?	104	1673285286
34313078	Dilution of expertise in the rise and fall of collective innovation	117	1673285777
34313589	We're wasting money by only supporting gzip for raw DNA files	148	1673287517
34314272	Raspberry Pi's Camera Module 3 adds autofocus and new Sony sensor	119	1673289998
34314448	An Open Letter on the Open Gaming License, to Wizards of the Coast	369	1673290797
34314504	Three lessons from Threema: Analysis of a secure messenger	145	1673291067
34315094	England just made gigabit internet a legal requirement for new homes	444	1673293978
34315380	3D in CSS	370	1673295415
34315499	A single developer dropped AWS costs by 90%, then disappeared	146	1673295975
34315533	Tomu – A family of devices which fit inside your USB port	353	1673296129
34315779	Just: A Command Runner	482	1673297191
34315782	Building an Internet Scale Meme Search Engine	785	1673297203
34315969	Texas Records All Inmates Last Words Before Execution And Puts Them All Online	114	1673297959
34316613	I measured the pollution from my gas stove	174	1673300738
34316618	The first time I'm aware that Meta is taking back signed, FTE offers	238	1673300754
34317333	A college student made an app to detect AI-written text	103	1673303508
34318307	Fyrox Game Engine 0.29	134	1673308601
34318506	The number of banks willing to do business with the crypto industry is shrinking	167	1673309947
34318783	UPS and the package wars	173	1673311804
34319361	Old man yells at cloud	193	1673315933
34319414	Tell HN: Airbnb has no system in place when a host cancels on a renter	229	1673316337
34319453	Interactive California Reservoir Levels Dashboard	103	1673316664
34319478	Restoration of the ozone layer is back on track, scientists say	152	1673316855
34319979	Microsoft eyes $10B bet on ChatGPT	120	1673319784
34320319	AI-powered lawyer will be first of its kind to represent defendant in court	135	1673322985
34320517	Names should be cute, not descriptive	351	1673325058
34320669	A mistake that killed Japan’s software industry?	240	1673326297
34320772	Galmon – Galileo/GPS/GLONASS/BeiDou open source monitoring	155	1673327194
34320844	Show HN: Ecode – A minimalist and fast open-source code editor	233	1673328070
34320892	Lessons in Electric Circuits	315	1673328536
34321056	Crisis over The Atlantic: The near crash of Air Transat flight 236	234	1673330211
34321090	Common Lisp: 2022 in review	195	1673330557
34321135	NetworkX 3.0 - create, manipulate, and study complex networks in Python	195	1673331068
34321521	Grandma Gatewood	121	1673334645
34322033	Wolfram Alpha and ChatGPT	566	1673339538
34322130	Architecture diagrams should be code	317	1673340694
34322194	Health Services as Credence Goods: a Field Experiment (2020)	231	1673341318
34322303	Ask HN: What's your favorite illustration in computer science?	461	1673342402
34322610	Ask HN: Developers, how do you deal with socials, blogging, etc	148	1673345040
34322929	Show HN: Socketify.py: Http/Https and WebSockets servers for PyPy3 and Python3	194	1673347712
34323247	Show HN: ToolJet 2.0 – Open-source alternative to Power Apps and Retool	210	1673350398
34323258	Faster PostgresSQL to BigQuery Transfers	118	1673350433
34323336	Coinbase cuts staff by a further 20%	420	1673350969
34323469	UK: Excess deaths in 2022 among worst in 50 years	143	1673351914
34323674	Rackspace founder says it’s ‘on trajectory of death.’	208	1673353167
34324120	It’s not just what you eat, but the time of day you eat it	123	1673355418
34324169	Douglas Adams on Hypercard and new educational models	159	1673355704
34324208	Tell HN: We Need Robots.txt but for AI	108	1673355889
34324567	Ask HN: I'm 40 and feel my mental ability declining. Programming seems harder.	596	1673357527
34324919	Show HN: Graphic-Walker – A different type of open-source alternative to Tableau	148	1673359309
